customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,churn_pred
C100000,Female,1,Yes,No,57,Yes,No,No,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,21.73,1207.51,Yes,0.4869470509113635,No
C100001,Female,0,Yes,Yes,20,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.14,1059.93,No,0.31040647468748406,No
C100002,Female,0,No,Yes,13,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Mailed check,80.39,1082.57,Yes,0.3054055560745106,No
C100003,Female,1,Yes,No,45,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),61.34,2739.81,Yes,0.5315669195264191,Yes
C100004,Female,0,Yes,No,47,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.77,2558.41,No,0.3863186286253302,No
C100005,Female,1,Yes,No,15,No,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,61.22,953.84,No,0.6641719576163112,Yes
C100006,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.76,1782.21,Yes,0.7157830586431426,Yes
C100007,Male,1,No,Yes,44,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,72.19,3146.22,Yes,0.7737996696057101,Yes
C100008,Male,0,No,Yes,34,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),40.86,1381.2,Yes,0.28887002164227077,No
C100009,Male,1,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.31,1206.84,No,0.7634516994803191,Yes
C100010,Male,0,Yes,No,20,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.21,789.58,No,0.327442304488009,No
C100011,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,67.01,823.3,Yes,0.6921150694430855,Yes
C100012,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.54,2481.61,No,0.7494512026688247,Yes
C100013,Male,1,Yes,No,4,Yes,No,DSL,Yes,No,No internet service,No,No,No,One year,No,Credit card (automatic),35.57,155.1,No,0.20003953049130058,No
C100014,Male,1,No,No,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),68.78,2873.84,Yes,0.6011393981817179,Yes
C100015,Female,0,No,Yes,35,Yes,No,DSL,No,No,No internet service,No,No,No,One year,Yes,Electronic check,50.62,1700.97,Yes,0.34684400726258624,No
