customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100000,Female,1,Yes,No,57,Yes,No,No,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,21.73,1207.51,Yes
C100001,Female,0,Yes,Yes,20,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.14,1059.93,No
C100002,Female,0,No,Yes,13,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Mailed check,80.39,1082.57,Yes
C100003,Female,1,Yes,No,45,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),61.34,2739.81,Yes
C100004,Female,0,Yes,No,47,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.77,2558.41,No
C100005,Female,1,Yes,No,15,No,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,61.22,953.84,No
C100006,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.76,1782.21,Yes
C100007,Male,1,No,Yes,44,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,72.19,3146.22,Yes
C100008,Male,0,No,Yes,34,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),40.86,1381.2,Yes
C100009,Male,1,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.31,1206.84,No
C100010,Male,0,Yes,No,20,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.21,789.58,No
C100011,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,67.01,823.3,Yes
C100012,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.54,2481.61,No
